C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
1683|HD 269485                          |WR*|05 24 24.1937327527 -68 31 35.596373567|13.593|14.40 |14.46 |14.39 |14.574|WN4b/WCE+OB                        |  54|   0
1684|HD 269216                          |Em*|05 13 30.7809925326 -69 32 23.648218945|10.227|10.84 |11.123|10.96 |10.573|OBe                                |  39|   0
1685|HD 269445                          |WR*|05 22 59.7854939490 -68 01 46.634598597|10.79 |11.77 |11.520|11.41 |10.979|Ofpe/WN9                           | 109|   0
1686|HD 269540                          |Em*|05 26 47.0868310066 -67 28 45.788223887|11.61 |11.50 |11.59 |11.74 |     ~|OBe                                |  14|   1
1687|HD 269551                          |Em*|05 26 53.118 -68 50 00.26              |     ~|10.91 |11.5  |10.67 |     ~|OBe                                |  30|   0
1688|HD 269577                          |*  |05 27 56.0789980948 -67 20 46.302059131|     ~|10.85 |10.9  |     ~|     ~|OB                                 |  17|   0
1689|HD 269702                          |*  |05 31 52.1191903356 -67 34 20.772958250|     ~|11.69 |11.99 |     ~|     ~|O8I(f)p                            |  27|   0
1690|HD 34169                           |WR*|05 09 40.4192565947 -68 53 24.755119043|12.773|13.47 |13.65 |14.02 |13.697|WN4b+O5:                           |  60|   1
1691|SK -67 167                         |s*b|05 31 51.9126469266 -67 39 41.376030558|11.243|12.364|12.586|     ~|11.819|O4If+n                             |  38|   0
1692|[L72] LH 54-425                    |SB*|05 26 24.2505 -67 30 17.194            |     ~|12.915|13.130|     ~|     ~|O3V+O5V                            |  16|   0
1693|HD 269244                          |*  |05 14 29.6408154231 -69 29 43.609098998|10.399|11.34 |11.65 |     ~|11.682|OB                                 |  19|   0
1694|HD 269351                          |*  |05 18 38.4599105880 -69 32 19.218433949|     ~|11.5  |11.1  |     ~|     ~|OB                                 |  12|   0
1695|HD 269357                          |*  |05 18 59.4794403994 -69 12 54.800414116|     ~|11.89 |12.10 |     ~|     ~|O6Ib(f)                            |  51|   0
1696|W61 17-35                          |*  |05 28 16.1760189697 -68 51 45.581738992|     ~|11.64 |11.71 |     ~|     ~|OB                                 |  15|   0
1697|BI 130                             |Em*|05 18 05.9943028307 -69 14 34.646005532|11.343|12.424|12.586|12.86 |13.365|O8.5V((f))                         |  16|   0
1698|HD 269327                          |Em*|05 17 46.3769755418 -69 50 57.232534745|     ~|10.71 |10.74 |10.92 |     ~|OB                                 |  22|   0
1699|[L72] LH 41-58                     |EB*|05 18 23.6409172610 -69 11 01.494528979|11.813|12.884|13.026|     ~|13.282|O8.5III                            |  12|   0
1700|BI 170                             |*  |05 26 47.6920860192 -69 06 12.020925555|11.823|12.914|13.116|     ~|12.975|O9.5Ib                             |  25|   0
1701|BI 173                             |*  |05 27 09.9443110675 -69 07 56.453557872|11.85 |12.86 |13.00 |     ~|     ~|O8III                              |  24|   0
1702|SK -67 120                         |*  |05 27 41.179 -67 27 23.90              |     ~|12.34 |12.17 |     ~|     ~|OB                                 |  13|   0
1703|SK -67 101                         |*  |05 25 56.2418446809 -67 30 28.813100962|     ~|12.46 |12.63 |     ~|     ~|O8II((f))                          |  29|   1
1704|W61 16-8                           |*  |05 28 46.9223603487 -68 47 47.799613299|12.283|13.444|13.666|     ~|13.854|ON2III(f*)                         |  18|   0
1705|HD 269548                          |EB*|05 26 36.94 -68 48 01.1                |     ~|15.62 |15.65 |15.73 |15.559|O7.5V                              |  12|   0
1706|Brey 10a                           |WR*|04 57 27.4549113851 -67 39 02.868479987|12.213|13.314|13.496|     ~|13.564|O2If*/WN5                          |  53|   1
1707|SK -67 4                           |*  |04 49 51.9407071306 -67 41 14.952386477|11.843|12.914|13.076|     ~|13.079|OB                                 |  12|   0
1708|SK -67 38                          |*  |05 03 29.7203131436 -67 52 25.184505870|12.383|13.494|13.716|     ~|13.883|OB                                 |  19|   0
1709|SK -68 16                          |*  |04 57 37.7904208751 -68 24 35.920947055|11.683|12.714|12.906|     ~|13.052|OB:                                |  13|   0
1710|WOH S 76                           |*  |04 55 34.853 -69 26 55.65              |     ~|11.67 |11.38 |11.51 | 9.966|OB                                 |  10|   0
1711|HD 268807                          |*  |04 56 08.1504745224 -69 14 52.467631860|     ~|12.22 |12.45 |     ~|     ~|OB                                 |  13|   0
1712|SK -68 11                          |*  |04 57 04.8324614258 -68 24 10.650551357|11.254|12.13 |12.04 |     ~|11.988|OB                                 |  10|   0
1713|HD 268856                          |WR*|04 58 56.3627926026 -68 48 04.730973756|     ~|12.130|10.827|10.34 | 9.33 |WN4o(+OB)                          |  37|   0
1714|HD 268804                          |Em*|04 57 16.8041047025 -68 24 39.481494785|10.492|11.303|11.159|11.32 |10.980|OB                                 |  25|   0
1715|SK -69 50                          |*  |04 57 15.0945139521 -69 20 19.951782678|12.163|13.204|13.366|12.86 |13.385|O7(f)(n)p                          |  16|   0
1716|SK -68 23                          |*  |05 00 49.4722160296 -68 07 09.735236673|     ~|13.03 |12.81 |     ~|     ~|OB                                 |  12|   0
1717|HD 268605                          |s*b|04 50 18.9253786780 -67 39 38.040164010|10.244|11.2  |11.377|     ~|11.322|O9.5/B0Ia                          |  79|   0
1718|SK -67 18                          |WR*|04 55 14.9238992344 -67 11 23.749108611|10.990|11.803|11.95 |     ~|12.072|O6-7n-nn+WN5-6-A                   |  55|   0
1719|LHA 120-S 6                        |Em*|04 53 06.5006638156 -68 03 22.793506194|12.663|13.725|13.796|13.98 |14.112|O6.5V                              |  18|   0
1720|LHA 120-S 13                       |Em*|05 00 07.7937773245 -67 07 59.311124334|     ~|12.93 |13.05 |13.25 |     ~|OB                                 |  12|   0
1721|BI 12                              |EB*|04 53 00.8329622148 -68 01 32.322261475|12.26 |13.30 |13.435|13.64 |13.665|O7.5III                            |  12|   0
1722|CPD-67 381                         |*  |05 01 22.5827796080 -67 20 09.989713617|11.042|11.93 |12.42 |     ~|12.024|OB                                 |  13|   0
1723|AL 17                              |Em*|04 45 41.4642386995 -67 34 13.892752962|12.829|13.558|13.708|13.70 |13.406|OB:                                |  10|   0
1724|AL 55                              |Em*|05 02 14.1287072079 -67 46 17.790668624|12.657|13.80 |13.80 |14.32 |13.724|OB:                                |  10|   0
1725|SK -68 3                           |*  |04 52 15.4671782576 -68 24 26.715070548|     ~|13.00 |13.13 |     ~|     ~|O9I                                |  12|   0
1726|2MASS J04542610-6911022            |Y*O|04 54 26.101 -69 11 02.23              |     ~|     ~|     ~|     ~|     ~|O7V                                |  11|   0
1727|BPS CS 22958-0083                  |Pe*|02 15 42.7298911215 -53 59 56.258017880|15.057|15.09 |14.44 |13.981|13.521|CEMP-no                            |  20|   0
1728|HD 89137                           |*  |10 15 40.0856062390 -51 15 24.090337747| 7.02 | 7.93 | 7.97 | 8.82 |     ~|ON9.7II(n)                         |  86|   1
1729|HD 300425                          |Em*|10 01 39.1285619552 -55 00 46.357107556| 9.74 |10.31 |10.08 |10.16 |     ~|O5/8                               |  14|   0
1730|CPD-54 3163                        |Em*|10 07 33.0512077756 -55 30 42.222859106|11.1  |11.57 |11.12 |10.99 |     ~|OB+e                               |  10|   0
1731|CD-56 3011                         |Em*|09 53 07.4780079731 -56 36 29.233394557|10.99 |11.09 |10.29 |10.22 |     ~|O9.5/B2                            |  13|   0
1732|IC 2501                            |PN |09 38 47.1807127191 -60 05 30.742117523|     ~|11.7  |10    |     ~|     ~|O3-6                               | 174|   0
1733|Hbg 317                            |*  |09 36 04.2226068583 -60 01 14.628137636|10.58 |11.24 |11.19 |11.36 |     ~|OB                                 |  10|   0
1734|HD 269708                          |*  |05 32 09.3590347926 -70 43 15.818309586|     ~|12.36 |12.36 |     ~|     ~|OB                                 |  14|   0
1735|HD 37248                           |WR*|05 30 38.703 -71 01 47.80              |12.319|12.983|12.99 |13.39 |13.413|WC4+O9                             |  51|   0
1736|Brey 97                            |WR*|05 41 48.5698169547 -70 35 30.786068009|13.570|14.522|14.701|14.50 |14.834|MN3ha+O5V                          |  23|   1
1737|Brey 40a                           |WR*|05 29 33.2066825323 -70 59 34.838593733|12.472|13.20 |13.39 |13.90 |13.743|WN4:b+O8V                          |  39|   0
1738|LHA 120-S 167                      |Em*|05 28 20.6178959375 -70 59 22.396446776|12.816|13.81 |13.77 |14.00 |13.521|O9VeFeII:                          |  14|   0
1739|SK -71 41                          |s*b|05 30 40.1506749208 -71 05 37.083227429|11.906|12.643|12.775|     ~|12.769|O9.7Iab                            |  13|   0
1740|SK -71 46                          |EB*|05 31 49.5876499878 -71 03 38.062508996|12.467|13.147|13.241|     ~|13.066|OB                                 |  12|   0
1741|SK -71 50                          |*  |05 40 43.1740304249 -71 29 00.676746146|12.479|13.142|13.445|     ~|13.537|OB                                 |  11|   0
1742|HD 269676                          |** |05 31 15.654 -71 04 09.69              |11.134|11.42 |11.55 |12.06 |12.191|O6+O9:                             |  74|   0
1743|SK -70 97                          |s*b|05 30 11.2505317092 -70 51 42.188805272|11.903|12.839|13.012|     ~|13.194|O9.7Iab                            |  11|   0
1744|SK -70 91                          |** |05 27 33.5736776673 -70 36 47.954697209|11.369|12.55 |12.78 |     ~|12.937|O2III(f*)+OB                       |  26|   0
1745|HD 268962                          |*  |05 02 00.0994697842 -70 01 22.869066995|     ~|12.205|12.247|     ~|     ~|OB                                 |  13|   0
1746|HD 268984                          |*  |05 02 08.4738379224 -70 39 55.773486354|11.396|12.00 |12.084|     ~|12.046|OB                                 |  13|   0
1747|SK -71 8                           |*  |05 07 23.2585734076 -71 11 53.963857802|12.243|12.995|13.156|     ~|13.299|O9II                               |  10|   0
1748|HD 269062                          |Em*|05 05 20.7175564756 -70 44 30.736179965|     ~|11.40 |11.37 |11.57 |     ~|OB                                 |  11|   0
1749|SK -70 60                          |*  |05 04 40.7778680984 -70 15 34.500345452|12.609|13.646|13.914|     ~|13.967|O4V                                |  24|   0
1750|SK -70 69                          |*  |05 05 18.6719268373 -70 25 49.876064190|12.586|13.616|13.854|     ~|14.074|O3V(f)                             |  39|   0
1751|HD 269015                          |WR*|05 04 12.3242039777 -70 03 55.403600765|13.183|14.07 |14.28 |14.40 |14.108|WN4o                               |  43|   0
1752|SK -71 19                          |*  |05 22 15.7478302979 -71 21 39.300379699|13.153|14.031|14.227|     ~|14.436|OB                                 |  10|   0
1753|HD 269018                          |*  |05 03 29.5850064565 -70 41 59.409128421|10.979|11.65 |11.704|     ~|11.501|OB                                 |  22|   0
1754|HD 269009                          |*  |05 03 45.8864130290 -70 11 57.487401995|     ~|11.0  |11.1  |     ~|     ~|OB                                 |  21|   0
1755|HD 269020                          |*  |05 04 08.4191182654 -70 15 45.685711794|     ~|12.48 |12.60 |     ~|     ~|OB                                 |  12|   0
1756|SK -70 79                          |*  |05 06 37.2741893610 -70 29 24.197492393|11.703|12.704|12.766|     ~|12.723|OB                                 |  12|   0
1757|SK -70 32                          |*  |05 00 10.2043518811 -70 11 09.424756425|     ~|12.90 |13.04 |13.32 |     ~|OB                                 |  22|   0
1758|HD 269074                          |*  |05 06 16.0418220790 -70 29 35.671582738|10.291|11.0  |11.1  |     ~|11.443|OB                                 |  20|   0
1759|SK -71 12                          |Em*|05 08 58.7150878958 -71 25 28.615285502|12.187|13.58 |13.74 |13.95 |     ~|OB                                 |  10|   0
1760|SK -70 83                          |Em*|05 13 31.0683015881 -70 17 58.764538729|12.838|13.890|13.754|13.93 |13.594|OB                                 |  10|   0
1761|Brey 37                            |WR*|05 27 37.6899657541 -70 36 05.320790978|12.875|13.85 |14.07 |14.43 |14.249|WN4o+OB                            |  37|   0
1762|HD 268867                          |*  |04 57 48.9016997575 -69 52 22.499446526|10.469|11.392|11.399|     ~|11.468|OB                                 |  24|   0
1763|OGLE LMC130.4 19472                |HXB|05 00 46.0546973241 -70 44 36.054408746|     ~|14.92 |     ~|     ~|     ~|O9Ve                               |  28|   0
1764|SK -69 51                          |*  |04 57 50.5814223376 -69 41 09.241584096|11.493|12.53 |12.596|     ~|12.371|OB                                 |  12|   0
1765|HD 268788                          |*  |04 54 54.7523927553 -69 36 49.228229732|     ~|12.12 |12.13 |     ~|     ~|OB                                 |  11|   0
1766|HD 268657                          |*  |04 49 19.0559972689 -69 25 54.580810583|10.838|11.714|11.52 |     ~|11.461|OB                                 |  17|   0
1767|SK -70 13                          |*  |04 54 01.158 -69 59 47.70              |11.163|12.204|12.346|     ~|12.172|OB                                 |  16|   0
1768|2E 756                             |ULX|03 18 22.00 -66 36 04.3                |     ~|23.5  |23.6  |     ~|     ~|O9.5                               | 192|   3
1769|BPS CS 22958-0042                  |Pe*|02 01 07.4296353198 -57 16 58.851945318|     ~|14.037|14.52 |14.222|13.902|CEMP-no                            |  35|   0
1770|HD 300739                          |Em*|10 26 09.4499042996 -57 12 06.701703653|     ~|10.75 |10.39 |10.41 |     ~|O9.5/B0                            |  12|   0
1771|HD 90273                           |*  |10 23 44.4544231274 -57 38 31.535286472| 8.35 | 9.25 | 9.05 | 9.58 |     ~|ON7V((f))                          |  73|   0
1772|HD 302501                          |*  |10 04 40.5291258486 -58 31 58.471322648| 9.95 |10.37 | 9.66 | 9.82 |     ~|OB                                 |  18|   0
1773|CPD-58 1997                        |*  |10 12 51.0385654078 -58 54 07.564909810|11.05 |11.45 |10.86 |10.70 |     ~|OB                                 |  10|   0
