C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
143 |BD+60 2635                         |*  |23 53 05.2164648371 +60 54 44.676921380| 9.98 |10.50 |10.1  |     ~|     ~|O6V((f))                           |  16|   0
144 |HD 240464                          |*  |23 58 50.9062107217 +60 15 51.020792804| 9.28 | 9.83 | 9.6  |     ~|     ~|O9V                                |  24|   0
145 |HD 225146                          |s*b|00 03 57.5026343253 +61 06 13.091743443| 8.32 | 8.96 | 8.60 |     ~|     ~|O9.7Iab                            |  80|   0
146 |EM* GGR 182                        |Em*|00 24 11.3885194708 +61 18 35.785703444|10.8  |11.05 |10.7  |     ~|     ~|OB-e                               |  10|   0
147 |Hilt 44                            |Em*|00 39 49.7424079013 +60 57 31.236663842| 9.75 |10.36 |10.00 |     ~|     ~|O9IV                               |  11|   0
148 |BD+60 39                           |*  |00 21 53.8989627747 +61 45 02.608780639| 9    | 9.66 | 9.46 |     ~|     ~|O9V                                |  38|   0
149 |[MAC92] 17                         |mul|00 20 29.15 +59 16 52.2                |     ~|     ~|21.76 |     ~|     ~|WNE+OB                             |  14|   0
150 |LS I +60 112                       |Em*|00 30 35.0971610163 +60 19 06.554622001|11.43 |11.90 |11.68 |     ~|     ~|OB-                                |  13|   0
151 |BD+57 247                          |*  |01 19 10.2718426338 +58 20 57.095061617| 9.45 |10.14 | 9.93 |     ~|     ~|O9.5IV                             |  20|   0
152 |SH 2-188                           |PN |01 30 33.1777443823 +58 24 50.324516367|     ~|17.424|17.447|17.398|17.376|DAO.6                              |  92|   1
153 |HD 236894                          |*  |01 52 13.7119750027 +58 26 06.319967883| 8.8  | 9.49 | 9.36 |     ~|     ~|O8V                                |  50|   0
