C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
89  |V* CU Cep                          |OH*|22 11 31.8824827570 +57 02 17.468568159|     ~|     ~|     ~|     ~|     ~|M5                    |  30|   0
90  |G 232-70                           |PM*|22 25 17.0663999098 +59 24 49.817148545|     ~|14.1  |     ~|12.663|     ~|M3.5Ve                |  31|   0
91  |V* W Cep                           |s*r|22 36 27.5633747594 +58 25 33.953361477|     ~| 9.44 | 7.59 |     ~|     ~|M0Iaep                |  86|   0
92  |HD 239960B                         |Er*|22 27 59.7956021455 +57 41 49.746752678|     ~|     ~|     ~|     ~|     ~|M4V                   | 166|   0
93  |HD 239960                          |** |22 27 59.47299 +57 41 45.2325          |     ~|     ~|     ~|     ~|     ~|M3                    | 261|   0
94  |V* MY Cep                          |s*r|22 54 31.6975860144 +60 49 38.970114015|     ~|     ~|     ~|     ~|     ~|M7.5I                 |  79|   0
95  |EM* AS 501                         |LP*|22 57 40.9676229606 +58 49 12.557808847|     ~|10.5  |10.9  |     ~|     ~|M2II-III              | 100|   0
96  |V* V Cas                           |Mi*|23 11 40.7202270467 +59 41 58.985113827|     ~|10.04 | 6.90 |     ~|     ~|M5-7.5e               | 138|   0
97  |V* TZ Cas                          |s*r|23 52 56.2369314440 +61 00 08.390398268|14.18 |11.75 | 9.18 |     ~|     ~|M3Iab                 |  79|   0
98  |V* PZ Cas                          |s*r|23 44 03.2794635453 +61 47 22.187155352|12.80 |11.48 | 8.90 | 6.08 | 3.90 |M3Ia                  | 188|   0
99  |V* V657 Cas                        |Mi*|23 52 04.9192738083 +61 48 12.459883377|     ~|     ~|     ~|     ~|     ~|M9.5III               |  36|   0
100 |V* MZ Cas                          |s*r|00 21 24.2851737319 +59 57 11.168889500|     ~|11.9  | 9.67 |     ~|     ~|M2Ia-Iab              |  38|   1
101 |HD 5408                            |** |00 56 46.97166 +60 21 46.2192          |     ~| 5.500| 5.566|     ~|     ~|B7Vn+B9VHgMn+A1V      | 121|   1
